,,company name,From WCIDWMD,From WCIDWMD,,,,,,type POST or PRE,does the student continue the work they started during their degree? etc
2025,In-Seat Runner,Canucks Sports & Entertainment (CSE),Other,Other,Recreation and Culture,"Hospitality & Retail (Food, Service Industries)",,https://jobs.canucks.com/?_ga=1.250402639.837776307.1469035065,Hospitality,PRE,
2025,Product Research Fellow,Circonomy,Sustainability/Environment,Health/Policy/Research,,,,https://www.circonomy.co/,,PRE,
2025,Intern,Circular Impact,Sustainability/Environment,Sustainability/Environment,,,,https://www.linkedin.com/company/circular-impact-io/,,PRE,
2025,"Founder, Automation Engineer",Clarity Works,Other,Entrepreneurship,,,,https://www.tryclarityworks.com/#contact,AI Automation,POST,Started during degree
2025,Junior Analyst,CMLS Financial,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.cmls.ca/who-we-are/our-people,,PRE,
2025,Transformation Analyst,Community Foundations of Canada,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,https://communityfoundations.ca/working-with-us/,,PRE,
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing,,,,https://consultingace.com/,,PRE,
2025,Publicity Agent Marketing Intern,Consulting Ace Inc.,Consulting,Marketing,,,,https://consultingace.com/,,PRE,
2025,Translator,COVER Corporation,Other,Other,,,,https://cover-corp.com/en/recruit,Entertainment/Communications,POST,Started during degree
2025,Intern,Creative Consulting Group,Consulting,Consulting,,,,https://creativegp.com/,,POST,Started during degree
2025,Translator,Crimson Global Academy,Academia,Other,,,,https://crimsonacademies.school/#w-node-_7dc0e30c-6e1f-4bb7-bf02-386ff897bd91-f897bd8c,Communications,PRE,
2025,Founder and Project Lead,Dabao Penang,Government and NGO's/No-Profit Organizations (NPOs),Entrepreneurship,,,,https://www.facebook.com/dabaopg/,,PRE,
2025,Landscaper,DALE CLARK,Entrepreneurship,Other,,,,N/A,Laborer,PRE,
2025,Marketing Intern,Daxue Consulting,Consulting,Marketing,,,,https://daxueconsulting.com/we-recruit/,,PRE,
2025,Supply Chain and Logistics Intern,DeeBee's Organics,Other,Other,,,,https://www.deebeesorganics.com/pages/about-us,Food/Supply Chain Logistics,PRE,
2025,Computer Programmer,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Data Science,,,,https://www.deenstrong.com/careers,,PRE,
2025,Marketing Intern,deenSTRONG Foundation,Government and NGO's/No-Profit Organizations (NPOs),Marketing,,,,https://www.deenstrong.com/careers,,PRE,
2025,Research Intern,Delhi School of Economics,Academia,Health/Policy/Research,,,,http://econdse.org/permanent-positions/,,PRE,
2025,Consultant,Deloitte,Consulting,Consulting,,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,
2025,"Coaching, Facilitation & Design Thinking Intern",Deloitte,Consulting,Entrepreneurship,,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,
2025,Mid-Market Portolio Management Intern,Deloitte,Consulting,Finance - Asset Management,,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance - Corporate Finance,,,,https://www.deloitte.com/global/en/careers/job-search.html,,PRE,
2025,Corporate Finance Analyst,Deloitte,Consulting,Finance - Corporate Finance,,,,https://www.deloitte.com/global/en/careers/job-search.html,,POST,Started during degree
2025,Virtual Aerospace Course Instructor,Department of National Defense,Government and NGO's/No-Profit Organizations (NPOs),Academia,,,,https://www.canada.ca/en/department-national-defence.html,,PRE,
2025,Head Muralist,Deschutes Painting Inc,Other,Other,,,,https://deschutespainting.com/hiring/,Creative arts,PRE,
2025,Summer Intern,Digitalife Corporation,Other,Other,,,,https://www.linkedin.com/company/digitalife-corporation/,Tech,PRE,
2025,Strategy & Planning Intern,DYNE Technologies Inc.,Data Science,Finance - Asset Management,,,,https://www.dyneapp.ca/career,,PRE,
2025,Marketing Intern,Elevate Vancouver,Other,Marketing,,,,N/A,"Multiple (music, real estate, consulting)",PRE,
2025,Equity Analyst Intern,Enso Gestão de Patrimônio,Wealth Management,Finance - Private Equity,,,,https://www.ensogp.com.br/,,PRE,
2025,"Consulting Intern, Business Transformation",EY,Finance - Corporate Finance,Consulting,,,,https://www.ey.com/en_ca/careers,,PRE,
2025,Business Development Representative,Fidelity Canada,Finance - Investment Banking,Entrepreneurship,,,,https://careers.fidelity.ca/en/index/,,POST,
2025,Publishing Intern,Fintel Connect,Marketing,Other,,,,https://www.fintelconnect.com/about-us/careers/,Communications,PRE,
2025,Guest Experience Intern,Flyover,Other,Other,,,,https://www.pursuit.com/careers/flyover/,Entertainment/Hospitality,PRE,
2025,Guest Experience Intern,Flyover,Other,Other,,,,https://www.pursuit.com/careers/flyover/,Entertainment/Hospitality,PRE,
2025,Founder,FoundHer Studio,Entrepreneurship,Government and NGO's/No-Profit Organizations (NPOs),,,,N/A,,POST,
2025,Sales Associate,Frank and Oak,Other,Finance - Sales and Trading,,,,https://www.linkedin.com/company/frank-&-oak/,Retail,PRE,
2025,Subtitle Creator,Freelance,Entrepreneurship,Other,,,,N/A,Communications,POST,Started during degree
2025,Venture Capital Investment Associate,Front Row Ventures,Finance - Private Equity,Finance - Private Equity,,,,https://frontrow.ventures/join-us/,,PRE,
2025,Intern,FSD Zambia,Government and NGO's/No-Profit Organizations (NPOs),Government and NGO's/No-Profit Organizations (NPOs),,,,https://www.linkedin.com/company/fsdzambia/,,PRE,
2025,Account Management Associate,Gentai Capital,Finance - Investment Banking,Finance - Investment Banking,,,,https://gentaicapital.com/careers/,,POST,Started during degree
2025,Junior Analyst,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://international.canada.ca/en/global-affairs/corporate/jobs,,PRE,
2025,Junior Trade Policy Officer,Global Affairs Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://international.canada.ca/en/global-affairs/corporate/jobs,,PRE,
2025,Analyst,Goldman Sachs,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.goldmansachs.com/careers/,,PRE,
2025,Investment Banking Analyst,Goldman Sachs,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.goldmansachs.com/careers/,,POST,
2025,Assistant General Manager,Gold's Gym,Other,Entrepreneurship,,,,https://www.goldsgym.com/careers/,Fitness,PRE,
2025,General Manager,Gold's Gym,Other,Entrepreneurship,,,,https://www.goldsgym.com/careers/,Fitness,POST,Started during degree
2025,Admin and Marketing Team Lead,Gold's Gym,Other,Marketing,,,,https://www.goldsgym.com/careers/,Fitness,PRE,
2025,Front Desk Receptionist,Gold's Gym,Other,Other,,,,https://www.goldsgym.com/careers/,Fitness/Hospitality,PRE,
2025,Remote Research Support,Graduate Research Project,Health/Policy/Research,Health/Policy/Research,,,,N/A,,PRE,
2025,Ski Instructor,Grouse Mountain,Other,Other,,,,https://www.grousemountain.com/careers,Recreation,PRE,
2025,Summer Intern,"Guotai Junan Securities Co., Ltd",Finance - Investment Banking,Finance - Investment Banking,,,,https://www.gtht.com/,,PRE,
2025,Store Cashier,H Mart,Other,Other,,,,https://www.hmart.com/about-us/careers,Retail,PRE,
2025,Student Trustee,Halton Catholic District School Board,Academia,Academia,,,,https://www.hcdsb.org/careers/,,PRE,
2025,Equity Research Summer Associate ,Halyk Finance,Finance - Investment Banking,Health/Policy/Research,,,,https://halykfinance.kz/?lang=ru,Finance-Private Equity,PRE,
2025,Concierge Attendant,Hayden Homes Amphitheater,Other,Other,,,,https://www.bendconcerts.com/work-with-us/employment,Entertainment/Hospitality,PRE,
2025,Head Coordinator of Youth Operations,Hellenic Community of Vancouver,Government and NGO's/No-Profit Organizations (NPOs),,,,,https://helleniccommunity.org/,,PRE,
2025,Influencer Marketing PR Intern,HINATURE,Other,Marketing,,,,https://www.linkedin.com/company/hinature/about/,Beauty,PRE,
2025,Intern,iA Financial Group (Industrial Alliance),Wealth Management,Wealth Management,,,,https://ia.ca/emploi,,PRE,
2025,Corporate Project Coordinator,ICBC ,Insurance,Other,,,,https://www.icbc.com/about-icbc/careers,Product Managment,PRE,
2025,"Accounting Assistant, Corporate Services Directorate",Indigenous Services Canada,Government and NGO's/No-Profit Organizations (NPOs),Finance - Corporate Finance,,,,https://www.rcaanc-cirnac.gc.ca/eng/1100100033784/1610113269343,,PRE,
2025,"Junior Policy Analyst, Industry Skills Directorate","Innovation, Science and Economic Development Canada",Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://ised-isde.canada.ca/site/job-opportunities/en,,PRE,
2025,General Restaurant Services,JAPADOG,Other,Other,,,,https://japadog.com/careers,Food/Hospitality,PRE,
2025,Assent Management Analyst,JM Financial Asset Management Ltd.,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.jmfl.com/careers/career-space,,PRE,
2025,Sales Associate,kate spade new york,Other,Finance - Sales and Trading,,,,https://careers.tapestry.com/,Retail,PRE,
2025,Collections Assistant,Kilby Historic Site,Other,Other,,,,https://kilby.ca/support/employment-opportunities/,Museum,PRE,
2025,Research Development Intern,Klue,Other,Health/Policy/Research,,,,https://klue.com/careers,Software Development,PRE,
2025,Warehouse Associate,KMS Tools & Equipment,Other,Other,,,,https://www.kmstools.com/careers,Retail,PRE,
2025,Management Consulting Intern,KPMG,Consulting,Consulting,,,,https://kpmg.com/xx/en/careers.html,,PRE,
2025,Team Member,krave kulture yogurt,Other,Other,,,,https://www.kravekulture.ca/,Food/Hospitality,PRE,
2025,Summer Research Assistant,Krea University,Academia,Health/Policy/Research,,,,http://www.krea.edu.in/,,PRE,
2025,Portfolio Intern,LEAP | Pecaut Centre for Social Impact,Government and NGO's/No-Profit Organizations (NPOs),Finance - Asset Management,,,,https://leap-pecautcentre.ca/join-our-team,,POST,
2025,Business Development & Partnership Project,Leo Charter Services,Other,Entrepreneurship,,,,https://www.leocharterservices.com/join-us,Transportation,PRE,
2025,Business Development Intern,Leo Charter Services,Other,Entrepreneurship,,,,https://www.leocharterservices.com/join-us,Transportation,PRE,
2025,Market Research Intern,Lumiwealth,Data Science,Health/Policy/Research,,,,https://lumiwealth.com/,Academia ,PRE,
2025,Food and Beverage Team Member,Marine Drive Golf Club,Other,Other,,,,https://marine-drive.com/careers/,Food/Hospitality,POST,
2025,Client Relationship Associate,Marsh Canada Limited,Insurance,Insurance,,,,https://careers.marshmclennan.com/global/en/marsh,,POST,
2025,Junior Academics Tutor,Math Tutor Network,Academia,Academia,,,,https://www.mathtutornetwork.com/career.html,,PRE,
2025,Property Manager,Maxsky Property Management,Other,Other,,,,N/A,Real Estate,PRE,
2025,Sales and Marketing Specialist,MNM Auto,Other,Marketing,,,,https://mnmauto.ca/,Automotive,POST,Started during degree
2025,"Analyst, Public Sector Consulting",MNP,Finance - Corporate Finance,Finance - Corporate Finance,,,,https://www.mnp.ca/en/careers,Consulting,POST,
2025,Undergraduate Legal Intern,Monroe County Public Defender,Law,Law,,,,https://www.monroecounty.gov/hr-careers,,PRE,
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Development Economics,,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,
2025,Junior Economist,Natural Resources Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://natural-resources.canada.ca/corporate/careers-natural-resources-canada,,PRE,
2025,Social Finance Analyst,New Market Funds,Finance - Investment Banking,Finance - Investment Banking,,,,https://newmarketfunds.ca/,,POST,Started during degree
2025,Research Analyst,New Power Labs,Health/Policy/Research,Health/Policy/Research,,,,https://www.newpowerlabs.org/careers,,PRE,
2025,Digital Marketing Intern,noDokter,Other,Marketing,,,,https://www.nodokter.com/,Fitness,PRE,
2025,Equity Analyst Intern,Nucleo Captial,Finance - Asset Management,Finance - Private Equity,,,,https://nucleocapital.com.br/,,POST,
2025,Project Lead,Nutrition Opportunities Worldwide,Consulting,Consulting,,,,https://nutritionops-ww.com/,,PRE,
2025,Market Research Intern,Nutrition Opportunities Worldwide,Health/Policy/Research,Health/Policy/Research,,,,https://nutritionops-ww.com/,Consulting,PRE,
2025,Junior Translator,Office Double Rainbow,Other,Other,,,,N/A,Communications,PRE,
2025,Investment Research Intern,Orbis Investments,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.orbis.com/careers/careers/home,Research,PRE,
2025,Policy Analyst,Pacific Economic Development Canada,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://www.canada.ca/en/pacific-economic-development/corporate/careers/apply.html,,PRE,
2025,"Policy Analyst, Advocacy",Pacific Economic Development Canada ,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://www.canada.ca/en/pacific-economic-development/corporate/careers/apply.html,,PRE,
2025,Swimming Instructor,Pedalheads Bike Camps Inc.,Other,Other,,,,https://pedalheads.com/en/join-the-team/careers,Recreation,PRE,
2025,Artist and Tour Marketing Intern,Pennant Music Publishing,Other,Marketing,,,,N/A,Music,PRE,
2025,Social Media Manager,Perchance Tea & Coffee,Other,Marketing,,,,https://www.perchance.ca/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn6vHL2uv6ftaVpF533TUoMp6erahzvdsPZjnF60frp-MycnPKvO8JOdsfZAE_aem_QQHZQJWkjTjpZMs0A7BgMA,Food/Hospitality,PRE,
2025,NFL & FBS Data Collector,PFF,Other,Data Science,,,,https://www.pff.com/jobs,Software Development,PRE,
2025,Accounting Intern,Pins Entertainment Inc.,Other,Finance - Corporate Finance,,,,https://pinsentertainment.com/,Entertainment,PRE,
2025,Warehouse Worker,Pivot Furniture,Other,Other,,,,https://www.pivotfurniture.com/,Retail,PRE,
2025,Client Relations Specialist,Plenty Stores,Other,Finance - Sales and Trading,,,,https://www.getplenty.com/pages/careers,Retail,PRE,
2025,Investments Intern,PT Saratoga Investama Sedaya Tbk.,Finance - Investment Banking,Finance - Investment Banking,,,,https://www.saratoga-investama.com/career,,PRE,
2025,Assurance Intern,PwC,Finance - Asset Management,Actuarial Science,,,,https://jobs-ca.pwc.com/ca/en/home,,PRE,
2025,Summer Consultant- Data & Analytics,PwC,Finance - Asset Management,Consulting,,,,https://jobs-ca.pwc.com/ca/en/home,Data Science,PRE,
2025,Data Analyst,RBC Global Asset Management,Wealth Management,Data Science,,,,https://www.rbcgam.com/en/ca/about-us/our-teams,,PRE,
2025,Revenue and Operations Analyst,RBC Global Asset Management,Wealth Management,Data Science,,,,https://www.rbcgam.com/en/ca/about-us/our-teams,,POST,Started during degree
2025,Junior Policy Analyst,RCAANC-CIRNAC,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://www.rcaanc-cirnac.gc.ca/eng/1100100033784/1610113269343,,PRE,
2025,Advisor,rekindle,Sustainability/Environment,Entrepreneurship,,,,https://www.linkedin.com/company/rekindle-ubc/,,POST,
2025,Founder and Project Director,rekindle,Sustainability/Environment,Entrepreneurship,,,,https://www.linkedin.com/company/rekindle-ubc/,Retail,PRE,
2025,Teaching Assistant,Revera Academy,Academia,Academia,,,,https://www.reveraacademy.com/,,PRE,
2025,Assistant Consultant,Roland Berger,Consulting,Consulting,,,,https://www.rolandberger.com/en/Join/Join-Us/Start-Your-Journey/,,PRE,
2025,Stagiare (Trainee),Safran,Other,Other,,,,https://www.safran-group.com/careers/why-join-us,Aviation Manufacturing,PRE,
2025,Business Analyst,SAP,Other,Data Science,,,,https://jobs.sap.com/?utm_source=CareerSite&utm_campaign=CorpSite_FT,Software Development,PRE,
2025,Teaching Assistant for Enterpreneurial Finance,Sauder School of Business,Academia,Academia,,,,https://www.sauder.ubc.ca/about-ubc-sauder/careers,,PRE,
2025,Server,Schanks Sports Grill,Other,Other,,,,https://schanks.com/,Hospitality,PRE,
2025,Analyst,Scotiabank,Wealth Management,Finance - Investment Banking,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,Investment Banking Winter Analyst,Scotiabank,Wealth Management,Finance - Investment Banking,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,Business Analyst ,Scotiabank,Wealth Management,Other,,,,https://www.scotiabank.com/careers/en/careers.html,Product Managment,PRE,
2025,Business Analyst Intern,Scotiabank,Wealth Management,Other,,,,https://www.scotiabank.com/careers/en/careers.html,Product Managment,PRE,
2025,Customer Experience Associate,Scotiabank,Wealth Management,Wealth Management,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,Financial Advisor,Scotiabank,Wealth Management,Wealth Management,,,,https://www.scotiabank.com/careers/en/careers.html,,POST,
2025,Junior Program Coordinator,Scotiabank,Wealth Management,Wealth Management,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,"Strategy and Projects Intern, Canadian Banking",Scotiabank,Wealth Management,Wealth Management,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,Wealth Management Tax Administrator,Scotiabank,Wealth Management,Wealth Management,,,,https://www.scotiabank.com/careers/en/careers.html,,PRE,
2025,Math Tutor,Self-employed,Entrepreneurship,Academia,,,,N/A,,PRE,
2025,Private High School English Tutor,Self-employed,Entrepreneurship,Marketing,,,,N/A,,PRE,
2025,Landscaper,Self-employed,Entrepreneurship,Other,,,,N/A,Labor,PRE,
2025,Market Research Intern,Skills For Hope Foundation ,Government and NGO's/No-Profit Organizations (NPOs),Health/Policy/Research,,,,https://www.skillsforhope.org/,,PRE,
2025,Gameday Operator,Sportable,Data Science,Data Science,,,,https://sportable.bamboohr.com/careers,,POST,Started during degree
2025,Investment Analyst,Spring,Consulting,Finance - Investment Banking,,,,https://spring.is/careers/,,PRE,
2025,Investment Analyst,Spring,Consulting,Finance - Investment Banking,,,,https://spring.is/careers/,,POST,Started during degree
2025,Small Business Owner,SSET Enterprises,Academia,Entrepreneurship,,,,https://www.linkedin.com/company/s-s-e-t-enterprises/about/,,PRE,
2025,Co-Founder,Stealth Startup,Entrepreneurship,Entrepreneurship,,,,https://harmonic.ai/careers,,PRE,
2025,Barista,Storm City Coffee,Other,Other,,,,https://www.stormcitycoffee.com/,Food/Hospitality,POST,
2025,Clinic Receptionist,StudioHealth -Main St- [Studio-East],Health/Policy/Research,Other,,,,https://studiohealth.ca/careers,Hospitality,PRE,
2025,Digital Marketing Manager,Susgrainable,Other,Marketing,,,,https://susgrainable.com/pages/careers,Food,PRE,
2025,Real Estate Intern,SV Estates,Other,Other,,,,N/A,Real Estate,PRE,
2025,Research Associate,Synergia Foundation,Other,Health/Policy/Research,,,,https://synergiafoundation.org/,Think tank,PRE,
2025,Associate Product Owner,Tangerine,Wealth Management,Finance - Investment Banking,,,,https://www.tangerine.ca/en/careers,,POST,
2025,Global Business Operations Rotational Associate,TD,Wealth Management,Entrepreneurship,,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,POST,
2025,"Summer Analyst, Enterprise Strategy",TD,Wealth Management,Finance - Corporate Finance,,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,PRE,
2025,Campus Ambassador,TD,Wealth Management,Marketing,,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,PRE,
2025,Customer Service Associate,TD,Wealth Management,Wealth Management,,,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers,,POST,Started during degree
2025,"Marketing Specialist Intern, D2C",TELUS,Other,Marketing,,,,https://www.telus.com/en/about/careers?linktype=ge-footer,Telecommunications,PRE,
2025,Bartender,The BeachHouse Seafood and Fine Dining,Other,Other,,,,https://www.thebeachhouserestaurant.ca/about/#careers,Food/Hospitality,PRE,
2025,Associate,The Stewart Group Inc.,Consulting,Consulting,,,,https://www.thestewartgroup.ca/join-us,,POST,Started during degree
2025,Summer Analyst,The Stewart Group Inc.,Consulting,Consulting,,,,https://www.thestewartgroup.ca/join-us,,PRE,
2025,"Translator, Live Support",TOUR Organizing Committee,Other,Other,,,,N/A,Tourism/Communications,PRE,
2025,Growth and Strategy Analyst,Trudent,Other,Entrepreneurship,,,,https://www.linkedin.com/company/trudent/about/,,POST,
2025,Service Delivery Analyst,Trulioo,Other,Data Science,,,,https://www.trulioo.com/company/careers,Software Development,PRE,
2025,Marketing Manager,Tutti Mimo,Other,Marketing,,,,https://www.instagram.com/tuttimimo/,Retail,PRE,
2025,BIE Peer Academic Advisor,UBC,Academia,Academia,,,,https://careercentre.economics.ubc.ca/volunteer-with-us/,,PRE,
2025,Chapman Learning Commons Project Assistant,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Student Ambassador,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Teaching Assistant,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Arts Peer Advisor,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Jumpstart Orientation Leader,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Orientation Leader,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Peer Mentor,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Student Financial Management Assistant,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Teaching Assistant- ECON 102 Macroeconomics,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Teaching Assistant- ECON 255,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Teaching Assistant-CPSC 430,UBC,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
2025,Finance Assistant Worklearn,UBC,Academia,Finance - Corporate Finance,,,,https://hr.ubc.ca/careers,,PRE,
2025,Finance Assistant Worklearn and Project Manager,UBC,Academia,Finance - Corporate Finance,,,,https://hr.ubc.ca/careers,,PRE,
2025,COMET Project Research Assistant to Dr. Jonathan Graves,UBC,Academia,Health/Policy/Research,,,,https://hr.ubc.ca/careers,,PRE,
2025,Project Researcher,UBC,Academia,Health/Policy/Research,,,,https://hr.ubc.ca/careers,,PRE,
2025,Research Assistant,UBC,Academia,Health/Policy/Research,,,,https://hr.ubc.ca/careers,,PRE,
2025,Research Assistant,UBC,Academia,Health/Policy/Research,,,,https://hr.ubc.ca/careers,,PRE,
2025,Research Intern,UBC,Academia,Health/Policy/Research,,,,https://hr.ubc.ca/careers,,PRE,
2025,Residence Advisor,UBC ,Academia,Academia,,,,https://hr.ubc.ca/careers,,PRE,
